"QID","value"
"Q457864","65965"
"Q123206","68206"
"Q164487","68501"
"Q382389","6862"
"Q329719","74353"
"Q9570","7714"
"Q359416","80032"
"Q170572","8739"
"Q42930","87528|41816"
"Q45772","8800"
"Q295679","91240"
"Q190998","91251"
"Q1715774","9303"
"Q41421","96901"
"Q3807815","102033"
"Q20082209","102265"
"Q45827","11047071"
"Q94123","111819"
"Q46677","11215038"
"Q221917","113474"
"Q165357","115676"
"Q51562","117116"
"Q468785","117556"
"Q16012282","118639"
"Q329163","12505"
"Q335863","127234"
"Q16472","133126"
"Q5258753","134648"
"Q45168","13495"
"Q96210598","137270"
"Q372838","138994"
"Q299317","14291"
"Q51519","146645"
"Q53044","151336"
"Q705400","15465"
"Q318263","159000"
"Q67525141","160486"
"Q55415","161722"
"Q55426","163509"
"Q2552694","17153"
"Q233848","176061"
"Q51490","184419"
"Q457220","185289"
"Q433960","191172"
"Q191828","192784"
"Q708727","19546"
"Q180975","203163"
"Q47664","212394|169413"
"Q8042698","21240"
"Q21010035","21760"
"Q219521","21833"
"Q4351837","25916"
"Q442250","26383"
"Q238070","2649"
"Q296616","26521"
"Q433417","29487"
"Q236702","30547"
"Q351732","33401"
"Q230939","337349"
"Q23844","35763"
"Q3236786","36663"
"Q177208","37077"
"Q53015","37540"
"Q235299","38688"
"Q213512","39609"
"Q504722","39639"
"Q234921","3991"
"Q58912","40331"
"Q713514","4134"
"Q129817","41614"
"Q28028","41854"
"Q725451","42691"
"Q272068","4321"
"Q108270","45455"
"Q286339","45944"
"Q11341650","47068"
"Q5371852","48052"
"Q1803090","48768"
"Q55207","509303"
"Q55163","511987"
"Q43264","519722"
"Q359996","5527"
"Q56093","55925"
"Q56093","55925|22224"
"Q259185","57787"
"Q7181662","5822"
"Q670296","61501"
"Q358370","6212"
"Q2409726","64427"
"Q57374","677581"
"Q314805","74508"
"Q444371","7465"
"Q262482","75374"
"Q156532","75447"
"Q19810","781"
"Q3302014","7962"
"Q1355379","83257"
"Q310217","84479"
"Q230527","85031"
"Q545669","85195"
"Q358421","8564"
"Q1287517","89697"
"Q183532","9111"
"Q105825","91178"
"Q262490","92322"
"Q7088788","93426"
"Q2959509","97301"
"Q36268","9749"
"Q325427","99828"
"Q6536003","100358"
"Q65154","103255"
"Q2059559","104700"
"Q2001","106014"
"Q962932","10736"
"Q160528","107800"
"Q59204","109312"
"Q8342","111390"
"Q68027","11163702"
"Q93604","112003"
"Q68322","11214884"
"Q65106","1130474"
"Q284636","11359"
"Q55438","11718"
"Q73346","118543"
"Q224097","119241"
"Q1320615","11936"
"Q946196","122611"
"Q67268","1294812"
"Q527052","137656"
"Q265358","13805"
"Q959863","13919"
"Q58444","139569"
"Q69843","140229"
"Q254038","140929"
"Q238864","144363"
"Q296883","147209"
"Q2840560","15472"
"Q286890","157495"
"Q231093","15798"
"Q365633","161086"
"Q1291706","16324"
"Q59651","164577"
"Q1305333","16607"
"Q344735","1677"
"Q594528","170717"
"Q73416","180234"
"Q108935","183581"
"Q240886","18584"
"Q95133","1878"
"Q58801","197845"
"Q16740205","207536"
"Q7610883","209371"
"Q234089","209946"
"Q5294069","22269"
"Q1689123","24981"
"Q151973","25920"
"Q95043","26622"
"Q1233327","26671"
"Q193504","30511"
"Q621099","343463"
"Q4934860","34815"
"Q76711","351350"
"Q769205","36121"
"Q446975","3638"
"Q446717","36748"
"Q443317","44668"
"Q154490","4493"
"Q188280","4921"
"Q73761","515424"
"Q46053","54322"
"Q6687099","55847"
"Q215976","5933"
"Q229993","60772"
"Q333475","61179"
"Q982177","61879"
"Q86018","6302"
"Q189351","6534"
"Q1075796","660382"
"Q495487","6631"
"Q262479","66921"
"Q579241","70390"
"Q939079","7306"
"Q72579","73184"
"Q954950","74516"
"Q202056","7492"
"Q229598","81080"
"Q1276587","8266"
"Q253167","84465"
"Q230626","86571"
"Q314892","86735"
"Q3469977","89849"
"Q59824","90969"
"Q271877","91532"
"Q499097","9298"
"Q282787","94300"
"Q11832118","10075"
"Q530667","10696"
"Q247662","119167"
"Q1120700","12043"
"Q215359","123391"
"Q204299","127058"
"Q82284","127662"
"Q107933","13409"
"Q3720497","134719"
"Q4209486","139362"
"Q4710893","139779"
"Q76184","1405007"
"Q89552","142583|0"
"Q18356201","147681"
"Q190523","153356"
"Q988072","15348"
"Q451811","155228"
"Q16455","160861"
"Q94487","165211"
"Q1253606","165643"
"Q363684","170032"
"Q273814","17155"
"Q224071","171897"
"Q1582424","172461"
"Q6107","174855"
"Q310394","1776"
"Q51530","178892"
"Q233845","180970"
"Q50003","181114"
"Q506352","182219"
"Q66479","18449"
"Q1040783","187791"
"Q6380146","1886"
"Q232414","18891"
"Q3330529","18955"
"Q25186","19702"
"Q234640","20150"
"Q361443","211086"
"Q81520","23202"
"Q1374215","2558"
"Q267803","26436"
"Q230023","29278"
"Q1395617","29621"
"Q312656","32060"
"Q326723","3353"
"Q692","340202"
"Q837676","341397"
"Q59129","34488"
"Q315864","36627"
"Q3179026","37800"
"Q233882","38091"
"Q193628","38924"
"Q368794","39009"
"Q733122","39642"
"Q95148","39836"
"Q23547","40776"
"Q270081","41574"
"Q37079","41706"
"Q168049","42717"
"Q95119","44644"
"Q280098","45190"
"Q2092070","47707"
"Q18206563","49029"
"Q517405","50571"
"Q48765","51745"
"Q774661","51865"
"Q253282","53145"
"Q53011","5342"
"Q236987","54706"
"Q231385","56187"
"Q434678","6294"
"Q458464","6351"
"Q95076","63647"
"Q81328","63877"
"Q171905","64808"
"Q6712676","6539"
"Q1237569","66551"
"Q7122","6865"
"Q235196","68831"
"Q182486","68970"
"Q670417","72160"
"Q1737949","73769"
"Q76390","746551"
"Q83410","75180"
"Q3116093","7795"
"Q202409","80266"
"Q1174676","81147"
"Q269589","83138"
"Q233891","8384"
"Q350678","84041"
"Q80739","85772|30940"
"Q722764","86437"
"Q1362106","8680"
"Q1281212","89660"
"Q55397","91706"
"Q3127508","96436"
"Q274262","9800"
"Q64829698","99762"
"Q105817","103375"
"Q55221","104630"
"Q49034","107525"
"Q230523","113331"
"Q109324","115116"
"Q228906","11741"
"Q95030","12173"
"Q95030","12173|154030"
"Q471402","122763"
"Q95673","1263680"
"Q267175","130176"
"Q3523800","130337"
"Q2550245","132713"
"Q81819","13328"
"Q23858","13410"
"Q106057","134187"
"Q526716","135833"
"Q190602","13674"
"Q1386549","148049"
"Q108366","149486"
"Q709973","158041"
"Q254468","15860"
"Q212873","16446"
"Q104081","164893"
"Q186292","16554"
"Q14943721","170079"
"Q449118","17537"
"Q95019","175586"
"Q103939","175644"
"Q432246","17570"
"Q107656","177854"
"Q103917","180553"
"Q232588","182716"
"Q93187","187482"
"Q95133","1878|131206"
"Q1277018","19168"
"Q685277","19949"
"Q953753","201487"
"Q105987","20494"
"Q242462","24035"
"Q235639","25312"
"Q573399","27164"
"Q357402","28737"
"Q2576722","2947"
"Q107769","340293"
"Q55384","35820"
"Q152843","37169"
"Q103343","37880"
"Q367084","38220"
"Q56094","38909"
"Q318607","41026"
"Q1281943","41468"
"Q106175","42576"
"Q309589","42598"
"Q239404","4699"
"Q5441786","47036"
"Q861426","5467"
"Q108941","62313"
"Q242484","63688"
"Q23760","6702"
"Q108510","68742"
"Q182462","69494"
"Q95050","72554"
"Q105221","7418"
"Q321990","743"
"Q310150","75126"
"Q100440","79015"
"Q298352","79629"
"Q105660","90943"
"Q315723","92869"
"Q219653","93184"
"Q489540","95849"
"Q4137162","967635"
"Q119348","101309"
"Q270178","104061"
"Q6244163","109780"
"Q229983","118747"
"Q153527","140797"
"Q113566","143571"
"Q1456739","14947"
"Q171758","150760"
"Q51552","153636"
"Q524266","15645"
"Q710538","15892"
"Q241510","15952"
"Q53003","165791"
"Q2300160","173182"
"Q1545414","182207"
"Q355932","185830"
"Q53008","18647"
"Q238045","209884"
"Q55294","21089"
"Q327747","21941"
"Q250539","25049"
"Q616886","25619"
"Q445124","338534"
"Q587113","36155"
"Q1070698","37758"
"Q240969","3879"
"Q1507169","39942"
"Q106997","42462"
"Q309690","43743"
"Q515632","45345"
"Q219124","47842"
"Q110462","48284"
"Q516035","51647"
"Q3180926","5168"
"Q115250","52689"
"Q2837668","5451"
"Q269934","56206"
"Q456166","57347"
"Q375419","60572"
"Q154421","6433"
"Q589483","67108"
"Q724187","68265"
"Q367053","68623"
"Q720893","68910"
"Q587601","76710"
"Q658697","82230"
"Q1174682","82285"
"Q152888","8264"
"Q382068","83170"
"Q229042","85590"
"Q455043","86561"
"Q313546","8795"
"Q96086285","8852"
"Q130034","89215"
"Q211283","89279"
"Q3181785","89630"
"Q1750696","92160"
"Q114020","978309"
"Q5058002","99488"
"Q251634","100390"
"Q309898","10366"
"Q239845","10367"
"Q3291869","106428"
"Q105158","107577"
"Q456390","110551"
"Q160726","110811"
"Q56009","115674"
"Q148669","117729"
"Q148669","117729|72365"
"Q134456","1211618"
"Q149997","124025"
"Q96009717","1278683"
"Q651692","13383"
"Q573709","140472"
"Q188018","141856"
"Q449220","14308"
"Q145132","1472132"
"Q199884","147396"
"Q51499","15018"
"Q561124","150640"
"Q242387","153991"
"Q223110","158715"
"Q40523","162850"
"Q254828","162899"
"Q232477","16621"
"Q133050","170033|143429"
"Q390047","17547"
"Q4424773","179429"
"Q317228","179859"
"Q16390","18290"
"Q908933","186860"
"Q1816361","19727"
"Q706451","199403"
"Q1292756","21053"
"Q309640","22188"
"Q950397","24490"
"Q229305","2483"
"Q230448","27916"
"Q1264306","29747"
"Q675977","31593"
"Q951634","32858"
"Q139697","339911"
"Q132430","364271"
"Q3430649","36945"
"Q1291127","38170"
"Q154717","3917"
"Q731760","43065"
"Q230159","44464"
"Q470818","4489"
"Q296796","46351"
"Q83359","47049"
"Q896953","50543"
"Q134867","510956"
"Q150903","516300"
"Q283904","52293"
"Q484365","53642"
"Q232538","53953"
"Q108283","5437"
"Q1387339","57738"
"Q3567381","58551"
"Q234478","58701"
"Q18715957","59787"
"Q316003","59860"
"Q272083","59970"
"Q44426","60092"
"Q1823770","61277"
"Q374855","6529"
"Q24699917","68258"
"Q464889","70101"
"Q453549","72084"
"Q706678","7798"
"Q367265","7822"
"Q487355","83540"
"Q42745","83611"
"Q922905","85753"
"Q91449388","87287"
"Q2721207","90160"
"Q272579","95527"
"Q229234","9919"
"Q512978","101116"
"Q3308212","101511"
"Q2980777","103450"
"Q1255472","103631"
"Q939550","112839"
"Q1345198","114331"
"Q40035","114452"
"Q211280","114561"
"Q105941","117023"
"Q292213","12253"
"Q188726","132543"
"Q1949286","133289"
"Q453204","136153"
"Q272386","137391"
"Q5308817","137516"
"Q128944","13863"
"Q777128","14091"
"Q154519","141171"
"Q2373501","143757"
"Q381234","14721"
"Q268084","15495"
"Q323243","158042"
"Q358193","159382"
"Q5314585","160036"
"Q173399","1602071"
"Q541764","166429"
"Q229244","168328"
"Q288146","175285"
"Q943243","187624"
"Q690569","187697"
"Q262524","195145"
"Q1589331","20296"
"Q1261023","210804"
"Q525109","211526"
"Q232419","25789"
"Q517725","31165"
"Q62558","32407"
"Q55388","34672"
"Q348351","35965"
"Q4227","36024"
"Q313367","36763"
"Q318292","39233"
"Q1239072","39264"
"Q240998","40413"
"Q656035","40890"
"Q708256","41484"
"Q727791","42080"
"Q208374","4212"
"Q455279","44123"
"Q166389","45745"
"Q747723","48835"
"Q599020","48932"
"Q551439","49624"
"Q276005","519463"
"Q106349","5214"
"Q312084","52475"
"Q471023","54695"
"Q5272862","54793"
"Q210200","54847"
"Q3368537","62689"
"Q360844","6461"
"Q1337082","65005"
"Q5271457","65320"
"Q22102105","65578"
"Q231405","71159"
"Q312252","76833"
"Q1236412","7779"
"Q266451","82288"
"Q51581","83089"
"Q162389","848347"
"Q1697996","86967"
"Q198638","9256"
"Q236253","93187"
"Q490347","93816"
"Q13909","96180"
"Q312657","96329"
"Q350666","99243"
"Q187720","99588"
"Q1374376","105928"
"Q95034","10735"
"Q4912885","110830"
"Q313281","111438"
"Q1203","111937"
"Q224159","119304"
"Q539598","122077"
"Q466711","123710"
"Q633939","125666"
"Q168693","129656"
"Q181774","131656"
"Q237805","132223"
"Q253757","134693"
"Q182292","137331"
"Q739542","1439"
"Q504982","154739"
"Q1473065","15658"
"Q182450","172953|59780"
"Q184572","175650"
"Q449104","188651"
"Q182580","190104"
"Q3302341","190662"
"Q82330","191297"
"Q276181","197475"
"Q2528781","20319"
"Q182763","205036"
"Q314485","25593"
"Q715511","26173"
"Q460662","29125"
"Q182431","29193"
"Q717693","30560"
"Q318261","32067"
"Q673007","3302"
"Q171571","347194"
"Q174346","360628"
"Q203819","36555"
"Q171091","370093"
"Q370918","44719"
"Q4912445","49690"
"Q179576","508971"
"Q170515","510682"
"Q207598","51343"
"Q440298","51524"
"Q230199","5155"
"Q973065","5351"
"Q206916","543338"
"Q181659","563810"
"Q3181450","58147"
"Q726142","58320"
"Q109232","5935"
"Q18608546","60458"
"Q376981","62182"
"Q658690","62872"
"Q3143556","7216"
"Q3098560","77011"
"Q259571","79262"
"Q1277973","83323"
"Q452749","84563"
"Q310515","86374"
"Q3008022","89572"
"Q172035","920760"
"Q175571","92319"
"Q172678","93272|201503"
"Q223786","96473"
"Q520819","9887"
"Q769991","100255"
"Q554094","101697"
"Q437806","101852"
"Q922264","105260"
"Q179041","106047"
"Q957202","108261"
"Q3157245","110956"
"Q60292697","118086"
"Q4212","12168"
"Q237659","123130"
"Q2058858","12723"
"Q198414","12752703"
"Q287549","13231"
"Q2005629","13549"
"Q199929","136049|0"
"Q191952","136549"
"Q191952","136549|159177"
"Q2906010","149167"
"Q200261","1533505"
"Q2481772","166648"
"Q744326","170629"
"Q65029634","172833"
"Q443592","17799"
"Q349852","178680"
"Q158250","18321"
"Q189407","186253"
"Q264603","201138"
"Q239818","203909"
"Q202144","208074"
"Q913526","21791"
"Q126923","22531"
"Q313198","26337"
"Q192515","2851272"
"Q107006","28647"
"Q235294","29546"
"Q6792938","30465"
"Q3045703","31059"
"Q200841","31146"
"Q554468","34628"
"Q196560","351776"
"Q191719","361899"
"Q273208","38654"
"Q867813","43822"
"Q36949","46568"
"Q106508","48869"
"Q359397","522748"
"Q457727","54252"
"Q190386","567483"
"Q51582","66225"
"Q269835","6657"
"Q296287","69536"
"Q55218","73696"
"Q3399241","79583"
"Q228931","80963"
"Q201279","81515"
"Q980351","83347"
"Q142546","83987"
"Q266313","8402"
"Q190794","94216"
"Q253561","9525"
"Q189895","96480"
"Q945076","9707"
"Q272092","99837"
"Q351838","100730"
"Q218845","104640"
"Q264787","11369025"
"Q1707377","1159916"
"Q232421","12900"
"Q214864","138258"
"Q460090","139455"
"Q112205","14490"
"Q1065627","159699"
"Q213567","160862"
"Q212545","161385"
"Q529417","162143"
"Q719529","17213"
"Q230681","173455"
"Q179497","185313"
"Q503027","19257"
"Q23796621","198376"
"Q20082335","20197"
"Q213611","202861"
"Q298242","20700"
"Q677496","207392"
"Q44063","208256"
"Q255565","25515"
"Q336877","25706"
"Q220949","2851103"
"Q286570","29564"
"Q468463","30467"
"Q2617543","31852"
"Q235032","34361"
"Q726919","37954"
"Q39666","41791"
"Q272946","42575"
"Q37175","48903"
"Q295974","510465"
"Q212886","543241"
"Q5538678","54335"
"Q60100","57415"
"Q353755","5839"
"Q236718","58637"
"Q262898","59311"
"Q19560462","60032"
"Q61698030","60258"
"Q212048","63871"
"Q663553","69806"
"Q53006","70369"
"Q24699963","73445"
"Q1112554","75502"
"Q863108","76058"
"Q725507","88170"
"Q212957","88207"
"Q59525","90620"
"Q365144","94861"
"Q1387828","95979"
"Q938708","9625"
"Q16568860","101131"
"Q232282","109526"
"Q234512","11041204"
"Q230176","11134484"
"Q230943","11139397"
"Q230209","11277314"
"Q228860","11322176"
"Q240558","11328253"
"Q229036","11334068"
"Q234015","11338824"
"Q1099628","114800"
"Q551678","115475"
"Q229048","1199341"
"Q542637","121766"
"Q3074901","122345"
"Q976165","12255"
"Q1251819","126446"
"Q235132","12776007"
"Q470051","13424"
"Q232481","1355190"
"Q230320","14216"
"Q212879","142407"
"Q235891","143113"
"Q242208","1431720"
"Q230958","143928"
"Q228650","146420"
"Q236861","1469059"
"Q3047152","14887"
"Q232384","1495570"
"Q233216","1523672"
"Q234773","155139"
"Q233618","1593549"
"Q230011","159981"
"Q106743","160471"
"Q231460","162039"
"Q229258","166436"
"Q498503","16666"
"Q223988","172786"
"Q974947","179849"
"Q238008","182501"
"Q310318","185746"
"Q350819","186363"
"Q55190","18854"
"Q1929616","194305"
"Q229442","195353"
"Q234456","200412|0"
"Q555672","202326"
"Q264699","204889"
"Q725374","207026"
"Q242749","208959"
"Q225509","211064"
"Q231614","211651"
"Q1124735","21881"
"Q69568240","23739"
"Q708153","30510"
"Q6110073","3089"
"Q230636","32231"
"Q234983","3377"
"Q236755","339450"
"Q236809","345635"
"Q236212","35009"
"Q240869","363938"
"Q232343","364297"
"Q1709329","364320"
"Q231622","368641"
"Q182349","40836"
"Q299483","41341"
"Q186485","41822"
"Q1159045","43274"
"Q1893008","43458"
"Q229251","43777"
"Q436386","43852"
"Q232851","46543|0"
"Q228868","509433"
"Q229394","515664"
"Q229528","518843"
"Q316955","52123"
"Q458305","52500"
"Q228747","540168"
"Q234683","546944"
"Q234618","556419"
"Q3148398","56429"
"Q230662","56479"
"Q178348","58615"
"Q235103","59813"
"Q12292129","63712"
"Q241646","63747"
"Q241282","736085"
"Q232562","74061"
"Q232562","74061|136824"
"Q467570","77130"
"Q228871","77820"
"Q465442","77925"
"Q235744","78929"
"Q922580","80100"
"Q207596","80597"
"Q229184","826395"
"Q229181","861575"
"Q232451","879806"
"Q310324","91423"
"Q230329","9240285"
"Q3758467","9548"
"Q492169","96915"
"Q228645","97277|184780"
"Q234068","97804"
"Q232113","98685|13584"
"Q102642","99743"
"Q267914","107935"
"Q131380","11143"
"Q724478","112019"
"Q103788","112377"
"Q544465","11405"
"Q259536","115355"
"Q1972958","118093"
"Q191104","12048"
"Q253764","127174"
"Q2397223","140893"
"Q78561","14446"
"Q266804","144957"
"Q503258","14670"
"Q576085","14729"
"Q255800","151081"
"Q1300032","161549"
"Q325695","17339"
"Q288337","173409"
"Q253513","175613"
"Q242482","179473"
"Q62975","185344"
"Q209098","185571"
"Q9545711","200211"
"Q1082213","200374"
"Q461238","20777"
"Q238993","20989"
"Q49760","22946"
"Q152779","23091"
"Q3016514","25774"
"Q3498879","30180"
"Q466705","339986"
"Q447559","34686"
"Q7508990","34768"
"Q257442","352001"
"Q259663","355848"
"Q634684","362915"
"Q1304656","37969"
"Q658614","38906"
"Q354873","40461"
"Q253891","41094"
"Q17485906","44435"
"Q250608","4607043"
"Q229477","48950"
"Q258525","520551"
"Q230188","53935"
"Q266825","54186"
"Q260184","546205"
"Q444522","61170"
"Q230832","6225"
"Q707734","64667"
"Q2118140","65909"
"Q7325884","69344"
"Q315062","6935"
"Q237255","6945"
"Q265540","696040|0"
"Q53001","72527"
"Q260125","7282"
"Q941960","84503"
"Q165283","86806"
"Q95002","87865"
"Q266228","8813249"
"Q261669","90422"
"Q271465","104665|113227"
"Q238052","106430"
"Q269843","11136870"
"Q7149260","11417"
"Q213581","114903"
"Q234207","118248"
"Q577621","119100"
"Q344655","119875"
"Q343633","130096"
"Q748584","137274"
"Q148732","13978"
"Q433709","142493"
"Q271637","143687"
"Q1338869","154456"
"Q55230","155162"
"Q269890","161588"
"Q599249","17569"
"Q189694","180383"
"Q4864570","18186"
"Q94002","183111"
"Q230841","183137"
"Q4908185","18336"
"Q505780","185205"
"Q275161","185827"
"Q1380505","186293"
"Q826866","19681"
"Q61197032","204897"
"Q95125","23066"
"Q234169","28499"
"Q229211","30099"
"Q44442","30640"
"Q275095","342490"
"Q254552","351571"
"Q277978","367271"
"Q359331","37940"
"Q722156","40488"
"Q103578","41952"
"Q447891","47632"
"Q269692","508987"
"Q276525","511120"
"Q28054662","513641"
"Q270146","549237"
"Q959677","55006"
"Q110628","55142"
"Q236396","62528"
"Q713071","63352"
"Q40228","64043"
"Q272719","70655"
"Q106443","71834"
"Q255682","7457"
"Q105719","81306"
"Q236708","81740"
"Q276097","83857"
"Q1252342","86058"
"Q231116","90016"
"Q200405","91173"
"Q191755","94307"
"Q3246911","97289"
"Q284087","98119"
"Q295912","1040338"
"Q457293","10833"
"Q60659","111861"
"Q1797964","11413353"
"Q447426","118108"
"Q20007132","121565"
"Q162753","121691"
"Q256579","121737"
"Q20007134","122659"
"Q615874","125129"
"Q59085","14179"
"Q312944","1477281"
"Q310315","160729"
"Q313046","1614|43260"
"Q296630","162548"
"Q1707954","170102"
"Q968586","177734"
"Q77298","182865"
"Q297945","185706"
"Q182104","188816"
"Q229271","192833"
"Q71275","193601"
"Q223117","194744"
"Q267247","197936"
"Q55394","198302"
"Q311723","210819"
"Q1720470","28819"
"Q314673","351375"
"Q292453","359179"
"Q294372","363167"
"Q4573","37918"
"Q1288551","38342"
"Q1330714","38491"
"Q556278","40788"
"Q232059","4482"
"Q348209","48321"
"Q220901","48989"
"Q912097","51777"
"Q1479869","52431"
"Q299302","525179"
"Q311232","543333"
"Q230099","54426"
"Q171736","54952"
"Q311980","551534"
"Q427388","58903"
"Q2962235","61453"
"Q294454","61834"
"Q951821","62403"
"Q6128098","62608"
"Q313514","62775"
"Q313256","64333"
"Q309900","67755"
"Q208649","70683"
"Q533522","70841"
"Q371430","72211"
"Q262498","72818"
"Q363864","73345"
"Q460095","77736"
"Q3454165","7797"
"Q5364861","79485"
"Q309555","801194"
"Q239745","83925"
"Q550101","85991"
"Q1385393","100024"
"Q376176","104052"
"Q318885","1062564"
"Q317740","1213660"
"Q318312","12766"
"Q395511","13246"
"Q328857","133387"
"Q456211","134730"
"Q342665","135435"
"Q654730","13765"
"Q443790","139791"
"Q18360289","142243"
